"grain","period","incident_count"
"day","2016-09-14",1
"day","2016-09-15",2
"day","2016-09-19",1
"day","2016-09-20",1
"day","2016-09-21",2
"day","2016-09-22",1
"day","2016-09-27",3
"day","2016-09-29",1
"day","2016-10-04",1
"day","2016-10-05",2
"day","2016-10-10",1
"day","2016-10-13",1
"day","2016-10-14",1
"day","2016-10-17",1
"day","2016-10-18",3
"day","2016-10-21",1
"day","2016-10-24",1
"day","2016-10-27",2
"day","2016-10-28",1
"day","2016-10-29",1
"day","2016-11-01",3
"day","2016-11-03",4
"day","2016-11-04",2
"day","2016-11-07",1
"day","2016-11-08",4
"day","2016-11-09",1
"day","2016-11-16",1
"day","2016-11-18",2
"day","2016-11-21",3
"day","2016-11-22",2
"day","2016-11-23",2
"day","2016-11-24",1
"day","2016-12-01",1
"day","2016-12-02",1
"day","2016-12-08",3
"day","2016-12-09",1
"day","2016-12-12",2
"day","2016-12-14",2
"day","2016-12-16",1
"day","2016-12-19",5
"day","2016-12-20",3
"day","2016-12-21",3
"day","2016-12-22",3
"day","2016-12-23",3
"day","2016-12-25",1
"day","2016-12-26",2
"day","2016-12-27",1
"day","2016-12-28",2
"day","2016-12-29",3
"day","2017-01-01",6
"day","2017-01-02",4
"day","2017-01-03",9
"day","2017-01-04",3
"day","2017-01-05",5
"day","2017-01-06",1
"day","2017-01-08",1
"day","2017-01-09",4
"day","2017-01-10",7
"day","2017-01-11",8
"day","2017-01-12",2
"day","2017-01-13",3
"day","2017-01-16",3
"day","2017-01-17",6
"day","2017-01-18",3
"day","2017-01-19",2
"day","2017-01-21",1
"day","2017-01-23",1
"day","2017-01-24",2
"day","2017-01-25",4
"day","2017-01-26",5
"day","2017-01-27",5
"day","2017-01-28",1
"day","2017-01-30",3
"day","2017-01-31",5
"day","2017-02-01",13
"day","2017-02-02",8
"day","2017-02-03",2
"day","2017-02-06",2
"day","2017-02-08",3
"day","2017-02-09",5
"day","2017-02-10",8
"day","2017-02-13",5
"day","2017-02-14",3
"day","2017-02-15",4
"day","2017-02-16",2
"month","2016-02-01",207
"month","2016-03-01",8995
"month","2016-04-01",7934
"month","2016-05-01",7508
"month","2016-06-01",5
"month","2016-07-01",14
"month","2016-08-01",15
"month","2016-09-01",12
"month","2016-10-01",16
"month","2016-11-01",26
"month","2016-12-01",37
"month","2017-01-01",94
"month","2017-02-01",55
"week","2016-02-29",1858
"week","2016-03-07",2073
"week","2016-03-14",1975
"week","2016-03-21",1686
"week","2016-03-28",2174
"week","2016-04-04",2008
"week","2016-04-11",1995
"week","2016-04-18",1401
"week","2016-04-25",2046
"week","2016-05-02",2064
"week","2016-05-09",1736
"week","2016-05-16",1779
"week","2016-05-23",1177
"week","2016-05-30",673
"week","2016-06-06",1
"week","2016-06-20",3
"week","2016-07-04",4
"week","2016-07-11",4
"week","2016-07-18",4
"week","2016-07-25",2
"week","2016-08-01",6
"week","2016-08-08",4
"week","2016-08-15",1
"week","2016-08-22",3
"week","2016-08-29",1
"week","2016-09-12",3
"week","2016-09-19",5
"week","2016-09-26",4
"week","2016-10-03",3
"week","2016-10-10",3
"week","2016-10-17",5
"week","2016-10-24",5
"week","2016-10-31",9
"week","2016-11-07",6
"week","2016-11-14",3
"week","2016-11-21",8
"week","2016-11-28",2
"week","2016-12-05",4
"week","2016-12-12",5
"week","2016-12-19",18
"week","2016-12-26",14
"week","2017-01-02",23
"week","2017-01-09",24
"week","2017-01-16",15
"week","2017-01-23",18
"week","2017-01-30",31
"week","2017-02-06",18
"week","2017-02-13",14
