"priority","category","incident_count","avg_resolution_hours","median_resolution_hours"
"3 - Moderate","Category 21",8,62.0791666666666663,58.08333333333333
"3 - Moderate","Category 22",43,435.3496124031007730,343.3
"3 - Moderate","Category 23",967,163.527559462254395529,47.583333333333336
"3 - Moderate","Category 24",610,281.635683060109288799,72.55
"3 - Moderate","Category 25",5,656.1499999999999940,53.083333333333336
"3 - Moderate","Category 26",2888,80.994638734995383202,4.183333333333334
"3 - Moderate","Category 27",1,1.58333333333333330000,1.5833333333333333
"3 - Moderate","Category 28",342,90.915984405458089218,0.18333333333333332
"3 - Moderate","Category 29",5,1098.1433333333332591,118.78333333333333
"3 - Moderate","Category 3",1,21.2333333333333340,21.233333333333334
"3 - Moderate","Category 30",5,176.4033333333333260,174.61666666666667
"3 - Moderate","Category 31",19,150.26666666666666833,66.63333333333334
"3 - Moderate","Category 32",1190,63.821064425770308012,1.0083333333333333
"3 - Moderate","Category 33",15,1136.7455555555555467,680
"3 - Moderate","Category 34",487,1329.87214236824092922,404.71666666666664
"3 - Moderate","Category 35",451,21.769807834441980919,0.25
"3 - Moderate","Category 37",1042,126.239811260396674013,22.008333333333333
"3 - Moderate","Category 38",26,202.97948717948717386,42.483333333333334
"3 - Moderate","Category 4",6,219.7277777777777661,76.69166666666666
"3 - Moderate","Category 40",648,196.59938271604938257,96.6
"3 - Moderate","Category 41",36,188.6749999999999993,178.28333333333336
"3 - Moderate","Category 42",3041,103.306916584456867916,0.6666666666666666
"3 - Moderate","Category 43",156,162.218482905982903609,22.46666666666667
"3 - Moderate","Category 44",313,143.930351437699679506,26.183333333333334
"3 - Moderate","Category 45",517,508.635976789168278020,187
"3 - Moderate","Category 46",1994,295.002331995987962512,53.849999999999994
"3 - Moderate","Category 47",6,296.5611111111110983,239.40833333333333
"3 - Moderate","Category 48",1,257.7833333333333600,257.78333333333336
"3 - Moderate","Category 49",1,434.2166666666666400,434.21666666666664
"3 - Moderate","Category 5",10,0.17166666666666666420,0.15000000000000002
"3 - Moderate","Category 50",15,63.693333333333333240,9.133333333333333
"3 - Moderate","Category 51",519,38.864001284521516031,0.18333333333333332
"3 - Moderate","Category 52",5,25.683333333333332666,1.05
"3 - Moderate","Category 53",2438,129.482095980311731209,26.875
"3 - Moderate","Category 54",31,173.639247311827956643,16.333333333333332
"3 - Moderate","Category 55",72,261.74583333333333368,152.2
"3 - Moderate","Category 56",36,454.8888888888889075,41.175
"3 - Moderate","Category 57",835,154.249680638722553964,33.7
"3 - Moderate","Category 59",5,143.0000000000000000,27.25
"3 - Moderate","Category 6",2,116.6916666666666734,116.69166666666666
"3 - Moderate","Category 61",781,179.654396073410158693,96
"3 - Moderate","Category 62",4,420.7333333333333500,300.125
"3 - Moderate","Category 63",11,103.5712121212121214,23.033333333333335
"3 - Moderate","Category 7",31,292.69354838709677838,159.86666666666667
"3 - Moderate","Category 8",42,103.75753968253968361,31.300000000000004
"3 - Moderate","Category 9",1066,150.461757348342713965,43.516666666666666
"3 - Moderate",,4,10.77916666666666733,0.25
"4 - Low","Category 13",3,152.4055555555555500,167.23333333333332
"4 - Low","Category 17",4,12.27499999999999999,2.2416666666666667
"4 - Low","Category 19",3,8.1055555555555556,1.0666666666666667
"4 - Low","Category 20",30,67.79222222222222365,2.208333333333333
"4 - Low","Category 22",2,696.4833333333333170,696.4833333333333
"4 - Low","Category 23",16,155.0666666666666722,73.40833333333333
"4 - Low","Category 24",15,114.1622222222222179,95.98333333333333
"4 - Low","Category 26",68,61.45220588235293915,0.575
"4 - Low","Category 28",76,38.270394736842107026,0.016666666666666666
"4 - Low","Category 32",44,48.05265151515151499,0.5583333333333333
"4 - Low","Category 34",7,1187.7499999999999471,75.33333333333333
"4 - Low","Category 37",23,86.40434782608695848,24.783333333333335
"4 - Low","Category 38",1,103.0666666666666600,103.06666666666666
"4 - Low","Category 40",6,163.80000000000000556,130.575
"4 - Low","Category 42",98,55.251870748299319728,0.2833333333333333
"4 - Low","Category 43",3,86.7777777777777790,72.26666666666667
"4 - Low","Category 44",5,696.00000000000000467,173.91666666666666
"4 - Low","Category 45",66,839.52550505050505922,304.5
"4 - Low","Category 46",26,468.009615384615387332,8.908333333333335
"4 - Low","Category 51",12,253.75416666666666664,0.09166666666666667
"4 - Low","Category 53",82,168.10223577235772369,25.700000000000003
"4 - Low","Category 55",22,2617.43636363636361330,2002.2833333333333
"4 - Low","Category 57",13,187.62435897435897151,25.966666666666665
"4 - Low","Category 61",7,180.0761904761904714,126.6
"4 - Low","Category 62",1,70.6166666666666600,70.61666666666666
"4 - Low","Category 8",5,62.9600000000000008,16.95
"4 - Low","Category 9",34,108.43774509803921472,48.55
"4 - Low",,2,1605.10000000000008334,1605.1
